ID,Korte omschrijving,Extra info,Duo,Alt. Omschrijving,Vierkant,Kring,400m Baan,Img,Youtube Id,Warming up,Core stability,Loopscholing,Tussenprogramma,Hoofdprogramma,,TS-Alle oefeningen,TS-Woensdag 19-10-2016
A001,Inleiding,Vul in bij de TS kolom...,,x,,,,,,,,,,,,"IL.AL.1.
Dit zijn alle beschikbare oefeningen","IL.AL.1.
Deze training ligt het accent op kracht: versterken diverse spiergroepen. Dus extra aandacht voor core stability.
De intervallen zullen vanavond kort zijn."
W001,Inlopen,Zelfstand inlopen,,,,,x,,,x,,,,,,WU.4B.2,WU.4B.2
W002,Armen zwaai,"links, rechts, beide, achteruit",,,x,,x,,,x,,,,,,WU.4B.3,WU.4B.3
W003,Kruispas,"linksom, rechtom",,,x,,x,,,x,,,,,,WU.4B.4,WU.4B.4
W004,Zijwaarts met armen zwaai,"Gezicht naar binnen, gezicht naar buiten",,,x,,x,,,x,,,,,,WU.4B.5,WU.4B.5
W005,Knienen-Teen,Door de knieen en op tenen (wandelend),,,x,,x,,,x,,,,,,WU.4B.6,WU.4B.6
W006,Korte vernelling (rustige opbouw),Korte verschelling 10m (of 5 sec op fluitsignaal). Versnelling op rustig worden uitgevoerd,,,x,,x,,,x,,,,,,WU.4B.7,WU.4B.7
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
K001,Rekken/strekken algemeen,De diverse spiergroepen.,,,,x,,,,x,,,,,,WU.KR.11,CS.KR.10
K002,Zwaaibeweging been op de plaats,Evenwicht houden. Daarna stilhangen lichaam naar voren 1 been achter.maak ipv zwaaiende beweging draaiende beweging,,,,x,,x,,x,x,,,,,CS.KR.12,CS.KR.11
k026,Draaibeweging been op de plaats,Een standbeen ander draaien. Daarna andersom,,,,x,,x,JchS1SGwW90?start=0&end=10,,x,,,,,CS.KR.36,CS.KR.12
K005,Tripplings op de plaats met kniehef,"Tripplings op de plaats met kniehef, kniehef paar sec. vasthouden.",,,,x,,,,,x,,,,,CS.KR.15,CS.KR.13
K006,"Dribbelen op plaats, Sprongbeweging","Dribbelen op plaats, Sprongbeweging",,,,x,,,,,x,,,,,CS.KR.16,CS.KR.14
K008,Kniehef overgaand naar stilstand,"Kniehef op de plaats daarna overgaan variant met stilstand (1 knie omhoog 90 graden en paar sec. vasthouden, wisselen van been)",,,,x,,,,,x,,,,,CS.KR.18,
K009,Sprongbeweging naar ligstand buik,"Spring eerst, daar met handen naar de grond en strek je benen. Kom je benen weer en kom overeind en spring evt knieen omhoog.",,,,x,,,,,x,,,,,CS.KR.19,
K010,Naar push en weer terug naar staand,"Buig je rug, benen gestrekt. Breng je armen naar de grond iets voor je voeten en beweeg ze een voor een naar voren tot je rug recht is en een push up kan doen.
Na 1 push up weer terug naar de oorsponkelijke stan",,,,x,,,,,x,,,,,CS.KR.20,
K003,Uitvalspas,"Links, rechts om en om",,,x,x,,,,x,x,,,,,CS.KR.13,CS.KR.18
K004,Squats,"Squats, rug recht, strek je armen als je door de knieen zakt",,,,x,,,,,x,,,,,CS.KR.14,CS.KR.19
K011,Buikspier – grijp,"Ga op de rug liggen. Voeten omhoog, gekruisd. Knie maakt een hoek van 90 .
Maak een grijpende beweging met je arm alsof je iets wil pakken. Kom telkens weer terug in de basishouding
Keuze uit wel of geen hele rug op de grond. ",,,,x,,x,r7YxuEueF58?start=22&end=30,,x,,,,,CS.KR.21,CS.KR.20
K012,Buikspier – schommel,Ga op de rug liggen. Benen en armen gestrekt. Voeten iets van de grond en maak een schommelende beweging heen en weer,,,,x,,,,,x,,,,,CS.KR.22,
K013,Push up houding met armen gestrekt.,Ga op je buik liggen. Push up naar armen gestrekt. Alleen bovenlichaam komt omhoog.,,,,x,,,,,x,,,,,CS.KR.23,CS.KR.22
K014,Vliegtuigsprong 1,"Vanuit buiklig armen en benen omhoog tillen en vasthouden. Kijk naar beneden.
Varieer door armen en benen afwisselend op en neer bewegen",,,,x,,x,jnS8UT6_Uws?start=137&end=152,,x,,,,,CS.KR.24,CS.KR.23
K015,Vliegtuigsprong 2,Trek vanuit buikligstand je benen en armen omhoog. Armen hoek van 90 graden houden en ellbogen schuin naar achteren bewegen,,,,x,,x,,,x,,,,,CS.KR.25,CS.KR.24
K016,Brug vanuit zit,"Vanuit zitstand til je heup omhoog zodat je op je voeten en handen rust. Strek je heup op 1 lijn met je schouders en benen. Hoofd iets naar achteren buigen.

Variant: strek, in de brugstand, 1 been horizantaal gelijk met je knieen",,,,x,,x,,,x,,,,,CS.KR.26,CS.KR.25
K017,Knielen en rugstrek,"Knielen. Rug gestrekt. Leun naar voren,  handen vlak bij je hoofd en druk je billen naar achteren.

E.v.t. zover leune totdat je voeten van de grond komen.",,,,x,,x,,,x,,,,,CS.KR.27,CS.KR.26
K018,"Leun op elleboog en hak, strek je heup",vanuit zitstand leun op je elleboog en til je heup op (gestrekt lichaam). Hoofd iets naar achteren,,,,x,,x,jnS8UT6_Uws?start=202&end=230,,x,,,,,CS.KR.28,CS.KR.27
K019,Heuplift van ligstand op ellebogen,Rust op je schouders. Armen naar achteren 90 graden. Duw je heup omhoog.,,,,x,,x,,,x,,,,,CS.KR.29,CS.KR.28
K020,Buikspier vanuit ligstand,,,,,x,,x,,,x,,,,,CS.KR.30,
K021,Buikspier vanuit ligstand met bene omhoog,Op je ruggen liggend. Hoofd met je handen ondersteund van de grond. Dus je schouder en billen van de grond. Boven/onderbeen maken een hoek van iets meer dan 90 graden,,,,x,,x,,,x,,,,,CS.KR.31,
k022,Plank,"Plank. Eventueel met variant benen lift en armen lift (een voor een).
Kan ook beide kruislings",,,,x,,x,jnS8UT6_Uws?start=354&end=380,,x,,,,,CS.KR.32,CS.KR.31
k024,Brug met armen/benen strek,"Op knieen en handen (brug). Lift linkerbeen/rechterarm. Daar andersom.
Kijk naar beneden",,,,x,,x,,,x,,,,,CS.KR.34,CS.KR.33
k023,Brug – holle rug – bolle rug,"Op knieen en handen brug vormen. Holle rug maken, bolle rug.",,,,x,,,,,x,,,,,CS.KR.33,CS.KR.32
k025,Zijwaartse plank,"Zijwaards lichaam recht leunend op elleboog en zijkant voet. Breng het vrije been omhoog (gestrekt).
Andere been mag ook niet gestrekt: dan leunend op onderbeen/knie",,,,x,,x,,,x,,,,,CS.KR.35,CS.KR.34
k027,Single leg squats,Soort uitvalspas waarbij 1 persoon de voet van een ander vasthoud op middelhoogte,x,,,x,,x,mAiAvupFT6g?start=152&end=166,,x,,,,,CS.KR.37,
k028,Spagaat met draai,"Vanuit spagaat stand draai maken, grond aantikken en terugdraaien.",,,,x,,x,JchS1SGwW90?start=13&end=22,,x,,,,,CS.KR.38,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
L001,Tripplings tenen-hak,Begin bij de teen en druk je voet naar beneden totdat je hiel contact met de grond maakt. Begin rustig. Daarna bouw het tempo op naar een snelle cadans.,,,x,,,x,d0QZoavQqW0?start=303&end=335,,,x,,,,LS.VK.200,LS.VK.201
L002,Hakken-bil,"let op knie inzet. armen niet op achterwerk, maar naast lichaam meebewegen",,,x,,,x,d0QZoavQqW0?start=203&end=240,,,x,,,,LS.VK.201,LS.VK.202
L003,Lage Skipping,"lage Kniehef, landen op voorvoet, hoge frequentie, armen meebewegen.
Lopen alsof de ondergrond gloeiend heet is.",,,x,,,x,mAiAvupFT6g?start=71&end=100,,,x,,,,LS.VK.202,LS.VK.203
L004,Hoge skipping (kniehef),"hoge Kniehef, landen op voorvoet",,,x,,,x,mAiAvupFT6g?start=40&end=67,,,x,,,,LS.VK.203,LS.VK.204
L005,Lage skipping met overgang naar versnelling,Bij versnelling steeds grotere pas en lichaam moet rechtop komen,,,x,,,,,,,x,,,,LS.VK.204,LS.VK.205
L006,Gewone versnelling,Kleine pasje naar groot,,,x,,,,mAiAvupFT6g?start=200&end=230,,,x,,,,LS.VK.205,LS.VK.206
L007,Skipping met knie naar maximale hoogte,Huppelpas met knie naar maximale hoogte,,,x,,,x,mAiAvupFT6g?start=183&end=196,,,x,,,,LS.VK.206,LS.VK.207
L008,Kaats sprong,,,,x,,,,,,,x,,,,LS.VK.207,LS.VK.208
L009,Korte Pendelpas,Pendelpas met benen gekromd,,,x,,,x,d0QZoavQqW0?start=91&end=134,,,x,,,,LS.VK.208,LS.VK.209
L009b,Lange Pendelpas,Pendelpas met benen gestrekt,,,x,,,x,d0QZoavQqW0?start=140&end=198,,,x,,,,LS.VK.209,LS.VK.210
L010,Uitvalspas,"Maakt een schoppende beweging schuin naar voren en landt door je knieen. Zo diep mogelijk zakken. Hou je bovenlichaam recht. Knie loodrecht boven je hiel. 
Eenmalig met tussenstapjes of direct achter elkaar",,,x,,,x,mAiAvupFT6g?start=102&end=125,,,x,,,,LS.VK.210,
L011,"Looppas 2x linkerbeen, 2x rechts",Voorvoet landen en afzetten,,,x,,,,,,,x,,,,LS.VK.211,
L012,Loopsprong,,,,x,,,,,,,x,,,,LS.VK.212,LS.VK.213
L013,Goose steps,"Lopen met knieen recht, gestrekte benen. Iets leunen naar achteren",,,x,,,x,mAiAvupFT6g?start=170&end=180,,,x,,,,LS.VK.213,LS.VK.214
L014,Backwards running,,,,x,,,,,,,x,,,,LS.VK.214,
L015,Brug vanuit zit,Vanuit zitstand til je heup omhoog zodat je op je voeten en handen rust. Strek je heup op 1 lijn met je schouders en benen. Hoofd iets naar achteren buigen. Beweeg jezelf naar voren.,,,x,,,x,,,,x,,,,LS.VK.215,
L016,Elastiek,"Kort, langer, langst",x,,,,,,,,,x,,,,LS.VK.216,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
T001,Halve rondes,Per persoon om en om,x,,,,x,,,,,,x,,,TP.OV.300,
T002,Treintje,achterste loopt groep voorbij en gaat op kop verder.,x,,,,x,,,,,,x,,,TP.OV.302,
T003,Duo: 800 m / Core,"1 persoon loopt 2 rondes rustig (dribbel) tempo met versnelling op de rechte stukken.
Ander persoon persoon doet core stability:<br>
- Plank (30 sec),- Sqauts (10 x) <br>
- Brug met armen/benen strek, Buikspier-grijp (10 links, 10 rechts)<br>
- Omgekeerde brug, zijwaartse plank<br>",x,,,,x,,,,,,x,,,TP.OV.302,
,,,,,,,,,,,,,,,,,
H001,Heen en terug,"5, 4, 3, 2, 1 min. --> tempo moet heen en terug hetzelfde zijn",,,,,x,,,,,,,x,,HP.4B.400,
H002,Piramide vorm 1,"100 (p100), 200 (p200), 400 (p300), 600 (p400), 800 (p600), 600 (p400), 400 (p300), 200 (p200), 100 (p100)",,,,,x,,,,,,,x,,HP.4B.401,
H003,Piramide vorm 2,,,,,,,,,,,,,x,,HP.4B.402,
H004,Duo's in groep. 1 loopt ander wandelt/dribbelt,Lopen in tegengesteld richt van de groep.,x,,,,x,,,,,,,x,,HP.4B.403,
H005,Estafette met drietallen,"Afstand 200 meter per persoon. Ieder loopt 2x.
Bij de start staan 2 personen, 1 aan de andere kant (200m)",,,,,x,,,,,,,x,,HP.4B.404,
H006,4 tempo's vorm,"100m wandel, 100m dribbel, 100m extensief, 100m intensief",,,,,x,,,,,,,x,,HP.4B.405,
H007,3 tempo's vorm,"4x(100m int. – 200m ext. - 100m int.)
<br> 400 sp
4x(200m int. – 400m ext. - 200m int. – 400m sp)",,,,,x,,,,,,,x,,HP.4B.406,
H008,200 – 500 -1000,"6x200 (200p)
4x500 (300p)
1x 1000m – uitlopen",,,,,x,,,,,,,x,,HP.4B.407,
H009,200 – 500,"8x200 (p200) – 4x500 (p300))
200 in 5km tempo
500 in 10km tempo – laatste 100 versnellen",,,,,x,,,,,,,x,,HP.4B.408,HP.4B.408
H010,"Keuze: 200, 400 of 1000-tjes","Keuze:
16x200 (p200)
10x400 (p300)
5x1000 (p400)

200 in 5km tempo
400 in 10 km tempo
1000 in 21km tempo",,,,,x,,,,,,,x,,HP.4B.409,
H011,Pionnen estafette,"Plaats pionen verdeeld over de hele baan. Aantal is ong. de helft van het aantal deelnemers (of iets minder).
De vrije mensen lopen rondes en stoppen of eigen initiatief bij een (bezette) pion om te rusten. De andere afgeloste persoon start zijn looprondes.
Tempo extensief (21 km tempo)",,,,,x,,,,,,,x,,HP.4B.410,
H012,Pionnendans maar dan met pionnen op de 400m baan.,"Stoelendans, maar dan met pionnen op de 400m baan. Zet pionnen uit op de 400m baan, aantal 1 minder dan het aantal deelnemers.
Bij elke stop 1 pion minder en 1 persoon minder. 
Terug lopen mag niet. Wel oversteken.",,,,,x,,,,,,,x,,HP.4B.411,
H013,"50/100/200/400 series
Afsluiting 1000m","4x(
8x50m p50 - 
4x100m p100 - 
2x200m p200 -
1x400m p400
)

1x 1000m op tijd",,,,,x,,,,,,,x,,HP.4B.412,
H033,Coopertest,"100 (p100), 200 (p200), 400 (p300), 600 (p400), 800 (p600), 600 (p400), 400 (p300), 200 (p200), 100 (p100)",,,,,x,,,,,,,x,,HP.4B.402,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
H50,400 series (met 100 m versnelling),"12x400m T=10km
laatste 100m vers.
P=200m",,,,,x,,,,,,,x,,HP.4B.500,
H51,500/300 series ,"7x500m  T=-10km
P=300m
SP=300m
5x300m T=5km
 P=100mW",,,,,x,,,,,,,x,,HP.4B.501,
H52,600 series,"10x600m T=10km
laatste 200m T=5km
P=200m",,,,,x,,,,,,,x,,HP.4B.502,
H53,500m series,"10x500m T=10km
laatste 100m vers.
P=300m",,,,,x,,,,,,,x,,HP.4B.503,
H54,600/300 series,"7x600m  T=-10km
P=300m
SP=300m
5x300m T=5km
 P=100mW",,,,,x,,,,,,,x,,HP.4B.504,
H55,800 series met 200 vlot (intensief),"8x800m T=10km
laatste 200m T=5km
P=200m ",,,,,x,,,,,,,x,,HP.4B.505,
H56,600 series met 100 vlot (intensief),"10x600m T=10km
laatste 100m vers.
P=200m",,,,,x,,,,,,,x,,HP.4B.506,
H57,6x800 en 4x300,"7x800m  T=-10km
P=300m
SP=300m
5x300m T=5km
 P=100mW",,,,,x,,,,,,,x,,HP.4B.507,
H58,1000 series met aanpassing (1),"7x1000m T=10km
laatste 200m T=5km
P=200m",,,,,x,,,,,,,x,,HP.4B.508,
H59,1000/300 series,"6x1000m  T=-10km
P=300m
SP=300m
5x300m T=5km
 P=100mW",,,,,x,,,,,,,x,,HP.4B.509,
H60,2 series 700m,"7x300m T=+10km P=200m
SP=300m
7x300m T=-10km P=200m",,,,,x,,,,,,,x,,HP.4B.510,
H61,2 series 600m,"6x600m T=+10km P=200m
SP=300m
6x600m T=-10km P=200m",,,,,x,,,,,,,x,,HP.4B.511,
H62,2 series 500m,"7x500m  T=+10km P=200m
SP=300m
7x500m  T=-10km P=200m",,,,,x,,,,,,,x,,HP.4B.512,
H63,2 series 400m,"8x400m T=+10km P=200m
SP= 300m
8x400m T=-10km P=200m",,,,,x,,,,,,,x,,HP.4B.513,
H64,2 series 300m,"7x300m T=+10km P=200m
SP=300m
7x300m T=-10km P=200m",,,,,x,,,,,,,x,,HP.4B.514,
